S.No,College Code,College Name,Address
56,1303,Anand Institute of Higher Technology,Kalasalingam Nagar Old Mahabalipuram Road Kazhipattur Village Chengalpattu Taluk Kancheepuram District-603103
57,1304,Easwari Engineering College (Autonomous),Bharathi Salai Ramapuram Chennai-600089
58,1306,Jeppiaar Engineering College,Jeppiaar Nagar Old Mammallapuram Road Kanchipuram Chennai-600119
59,1307,Jerusalem College of Engineering (Autonomous),Velachery-Tambaram Main Road Narayanapuram Pallikkaranai Chennai-600100
60,1309,Meenakshi Sundararajan Engineering College (Autonomous),C/O I.I.E.T Society No.363 Arcot Road Kodambakkam Chennai-600024
61,1310,Misrimal Navajee Munoth Jain Engineering College,Guru Marudhar Kesari Building Jyothi Nagar Thorapakkam Chennai-600097
62,1311,KCG college of Technology (Autonomous),Rajiv Gandhi Salai Karapakkam Chennai-600097
63,1315,Sri Sivasubramaniya Nadar College of Engineering (Autonomous),Rajiv Gandhi Salai (OMR) Kalavakkam Kanchipuram District-603110
64,1316,Agni College of Technology (Autonomous),Thalambur Off.Rajiv Gandhi Salai Chengalpattu Taluk Kancheepuram District-603103
65,1317,St. Joseph's College of Engineering (Autonomous),Jeppiaar Nagar Old Mamallapuram Road Kanchipuram Chennai-600119
66,1318,T.J. Institute of Technology,Rajiv Gandhi Salai Karapakkam Chennai-600097
67,1319,Thangavelu Engineering College,Rajiv Gandhi Salai Karapakkam Chennai-600097
68,1321,Central Institute of Petrochemicals Engineering and Technology (CIPET),Guindy Chennai 600032
69,1322,Dhanalakshmi Srinivasan College of Engineering and Technology,ECR Poonjeri Mamallapuram Kanchipuram-603104
70,1324,Sri Sai Ram Institute of Technology (Autonomous),Sai Leo Nagar Dharkast Road West Tambaram Kanchipuram Chennai-600044
71,1325,St. Joseph College of Engineering,Trinity Campus Nemili B Beemanthangal Village Sriperumbudur Kancheepuram District Chennai-602105
72,1333,Shikshaa Institute of Advanced Technologies,No. 96 Sirunkundram Post Chengalpattu Taluk Kancheepuram District-603108
73,1335,Sri Krishna Institute of Technology,Navaneedam Nagar Panapakkam Near Padappai Kanchipuram-601301
74,1339,Mahalakshmi Tech Campus,No.1 Bharathiyar Street Prashanthi Nagar Chromepet Chennai-600044
75,1399,Chennai Institute of Technology (Autonomous),Puduper Village Nandambakkam Post Kundrathur Chennai 600069
76,1401,Adhiparasakthi Engineering College,Melmaruvathur Cheyyur Taluk Kancheepuram District-603319
77,1402,Annai Teresa College of Engineering,Thirunavalur Ulundurpet Taluk Villupuram District-607204
78,1405,Dhanalakshmi College of Engineering,Manimangalam Puducheri Road Manimangalam Post Sriperumbudur Taluk Kancheepuram District Chennai-601301
79,1407,G K M College of Engineering and Technology,G K M Nagar Alappakkam-Mappedu Road New Perugalathur Chennai-600063
80,1408,IFET College of Engineering (Autonomous),IFET Nagar Gangarampalayam Valavanur Post Villupuram District-605108
81,1409,Karpaga Vinayaga College of Engineering and Technology,G.S.T. Road Chinna Kolambakkam Palayanoor Post Madurantagam Taluk Kancheepuram Dist-603308
82,1411,Madha Engineering College,Madha Nagar Somangalam Road Kundrathur Kanchipuram Chennai-600069
83,1412,Mailam Engineering College,Mailam Tindivanam Taluk Villupuram District-604304
84,1413,Sri Venkateswaraa College of Technology,Sirukulathur Vadakal Village Mathur Post Sriperumbhudur Kanchipuram-602105
85,1414,Prince Shri Venkateshwaraa Padmavathy Engineering College (Autonomous),Medavakkam-Mambakkam Road Ponmar Kanchipuram Chennai-600127
